index,title,description,publish_date,publish_time,likes,views,category,channel_id
11,Who is Vladimir Putin? - BBC News,"Who is the Russian President, and what does he want with Ukraine?

Vladimir Putin is the President of Russia, and has been the country's leader for more than 22 years.

He grew up in an area which is now St Petersburg. His political career began when he and his family moved to Moscow in 1996, and he quickly became an important political figure.

The BBC's Ros Atkins looks at Putin's life and his world view - and how they influence the decision he took this week.

Please subscribe HERE http://bit.ly/1rbfUog

#Ukraine #Russia #BBCNews",2022-02-26,11:03:37,53306,3894287,news,UC16niRr50-MSBwiO3YDb3RA
12,Israel strikes Beirut’s southern suburbs | BBC News,"Israeli airstrikes have targeted the southern suburbs of Beirut, sending plumes of smoke into the sky and flattening a building near one of the city’s busiest traffic junctions.

The strikes followed a warning of imminent attacks issued by the Israeli military on social media.

On Thursday, an airstrike on an emergency response centre in the city of Baalbek killed at least 12 rescue workers.

Subscribe here: http://bit.ly/1rbfUog

For more news, analysis and features visit: www.bbc.com/news 

#BBCNews #Israel #Hezbollah",2024-11-15,12:31:00,1499,177327,news,UC16niRr50-MSBwiO3YDb3RA
13,Why do some women wait decades for an ADHD diagnosis? - BBC News,"Gender bias is leaving many women with attention deficit hyperactivity disorder (ADHD) undiagnosed, leading psychologists are warning.

The stereotype that ADHD affects only ""naughty boys"" means it is estimated tens of thousands of women in the UK are unaware they have the condition, and are not receiving the help they need.

Another factor leading to slow diagnosis is the fact that symptoms of ADHD in women tend to be more subtle than in men, meaning signs can be missed.

These women have shared their stories of their struggle to be diagnosed.

Please subscribe HERE http://bit.ly/1rbfUog

#ADHD #BBCNews",2021-10-27,08:00:10,5772,300610,news,UC16niRr50-MSBwiO3YDb3RA
14,Elon Musk told ‘not to interfere’ in migrant policy by Italy’s president | BBC News,"Italy’s President Sergio Mattarella has told Elon Musk “not to interfere” in the country’s politics, after the billionaire waded into a debate over Rome's migrant policy.
 
Mr Musk commented on a ruling by Italian judges that curbed Italy's controversial deal with Albania over processing migrants, writing on X that this decision was “unacceptable”, and that these judges “need to go”.
 
In an unusual move, President Sergio Mattarella indirectly responded to Musk in a statement.

Subscribe here: http://bit.ly/1rbfUog

For more news, analysis and features visit: www.bbc.com/news 

#Italy #ElonMusk #BBCNews",2024-11-15,11:01:54,1678,152057,news,UC16niRr50-MSBwiO3YDb3RA
15,A brief history of modern Ukraine - BBC News,"When the Soviet Union collapsed in the 1990s Ukraine was one of the largest new nations to emerge. It held its first elections in 1991. 

Bordered by Russia on the east and by Hungary, Poland and Slovakia on the west, politics in Ukraine have always been divided along those looking east towards Russia and those looking to the West. 

Putin has said that Ukraine is “ancient Russian soil” but  the majority of Ukrainians don’t feel this way, with 68% of Ukrainians in favour of joining the EU. 

Please subscribe HERE http://bit.ly/1rbfUog

#Ukraine #BBCNews",2022-02-25,11:00:27,8103,805323,news,UC16niRr50-MSBwiO3YDb3RA
16,Terracotta Army: The greatest archaeological find of the 20th century - BBC News,"In March 1974, Chinese farmers digging a well unearthed the greatest archaeological find of the century - the buried Terracotta Army.  After coming across a life-sized human head made of clay in Xi’an, China, archaeologists were called in to investigate.  What they found was extraordinary.  Thousands of life-like terracotta figures from the Qin dynasty, fashioned 2,000 years ago to protect the First Emperor of China in the afterlife.  Archaeologist Li Xiuzhen has worked on the site since the 1980s.  Her team was the first to discover that each warrior was originally painted in bright colours.

Please subscribe HERE http://bit.ly/1rbfUog

World In Pictures https://www.youtube.com/playlist?list=PLS3XGZxi7cBX37n4R0UGJN-TLiQOm7ZTP
Big Hitters https://www.youtube.com/playlist?list=PLS3XGZxi7cBUME-LUrFkDwFmiEc3jwMXP
Just Good News https://www.youtube.com/playlist?list=PLS3XGZxi7cBUsYo_P26cjihXLN-k3w246",2017-04-29,07:44:26,12033,1506013,news,UC16niRr50-MSBwiO3YDb3RA
17,Climate Change: Your carbon footprint explained - BBC News,"Tackling climate change is a big task, but there are clear ways of cutting your contribution to carbon emissions, also known as your carbon footprint.

This is how changing three aspects of your life can make a difference.

#CarbonFootprint #ClimateChange #BBCNews

Please subscribe HERE http://bit.ly/1rbfUog",2021-04-22,19:17:08,2804,277411,news,UC16niRr50-MSBwiO3YDb3RA
18,Thousands evacuated as Málaga hit with torrential rain following Spain deadly floods | BBC News,"Large parts of Spain were hit overnight with more torrential rain, just two weeks after more than 220 people died in flash flooding in Valencia.

It is the same weather system affecting Málaga and other parts of southern and eastern Spain.

Valencia is still recovering from a year's worth of rain in just eight hours last month.

Subscribe here: http://bit.ly/1rbfUog

For more news, analysis and features visit: www.bbc.com/news 

#Spain #BBCNews",2024-11-14,13:07:59,2804,348110,news,UC16niRr50-MSBwiO3YDb3RA
19,My life as the Queen’s piper - BBC News,"Each morning at exactly nine o’clock, a little-known ritual takes place in grounds of where the Queen is in residence.

For 15 minutes, a lone piper in Highland uniform strikes up a selection of tunes below the monarch's window - a position called the Piper to the Sovereign.

Scottish veteran Pipe Major Scott Methven held the role for four years, a job often considered one of the most coveted in the piping world.

From humble beginnings growing up in Stirling, Scott joined the army and travelled the world. Upon returning from service in Afghanistan, he was chosen to be the Queen's personal piper from 2015 to 2019.

Please subscribe HERE http://bit.ly/1rbfUog

#RoyalFamily #Scotland #BBCNews",2021-09-10,14:21:41,5007,279643,news,UC16niRr50-MSBwiO3YDb3RA
20,Recycling fashion: The town turning waste into clothes- BBC News,"Fashion is one of the most polluting industries in the world. But a small town in Italy called Prato has built its fortune on transforming old scraps into new clothes, particularly knitwear and wool.

Could Prato represent a model for sustainable fashion?

Reporter: Sofia Bettiza

Editor: Sofia Bettiza

Filmed by: Paolo Patruno

Please subscribe HERE http://bit.ly/1rbfUog",2020-12-16,13:01:21,29240,1211874,news,UC16niRr50-MSBwiO3YDb3RA
21,How Gary Lineker lived Leicester fairytale - BBC News,"How Leicester's historic Premier League season turned Match of the Day presenter and Foxes fan from doubter to believer. 

Subscribe to BBC News HERE http://bit.ly/1rbfUog
Check out our website: http://www.bbc.com/news 
Facebook: http://www.facebook.com/bbcnews
Twitter: http://www.twitter.com/bbcworld
Instagram: http://instagram.com/bbcnews",2016-05-03,14:08:01,20205,1902980,news,UC16niRr50-MSBwiO3YDb3RA
22,The F1 drama between Lewis Hamilton and Max Verstappen explained - BBC News,"On Sunday, Max Verstappen won his first Formula 1 World Championship. 
The Dutchman called his victory ''the ultimate dream'', but what came next was controversy, bemusement - and anger.

Formula 1's governing body the FIA is under intense scrutiny in the wake of the controversial end to the 2021 world championship in Abu Dhabi on Sunday.

Please subscribe HERE http://bit.ly/1rbfUog

#F1 #AbuDhabi #BBCNews",2021-12-14,08:16:38,6379,530493,news,UC16niRr50-MSBwiO3YDb3RA
23,A rare look inside North Korea's Kim Il Sung University - BBC News,"In a few days' time, North Korea will open the most important political meeting in decades - the 7th congress of the Korean Workers' Party.
In the run-up to the meeting, a BBC team is in North Korea, travelling with a group of Nobel Prize winners who are there to promote peaceful dialogue. Rupert Wingfield-Hayes gained rare access to Kim Il Sung University in Pyongyang, the country's leading academic institution.

Subscribe to BBC News HERE http://bit.ly/1rbfUog
Check out our website: http://www.bbc.com/news 
Facebook: http://www.facebook.com/bbcnews
Twitter: http://www.twitter.com/bbcworld
Instagram: http://instagram.com/bbcnews",2016-05-06,12:35:47,33597,3025272,news,UC16niRr50-MSBwiO3YDb3RA
24,Theory of Evolution: How did Darwin come up with it? - BBC News,"160 years ago, the British naturalist published his famous book “On the origin of species”. His theory radically transformed Biology, offering a new explanation of the ancestry and evolution of living beings.

Motion design & SFX: Kako Abraham
Voice: Reha Kensara
Script: Carol Olona

Please subscribe HERE http://bit.ly/1rbfUog",2019-11-30,14:50:55,22386,1272119,news,UC16niRr50-MSBwiO3YDb3RA
25,South Africa cuts supplies to thousands of illegal miners hiding underground | BBC News,"South Africa’s government says it won’t help a group of illegal miners inside a closed mine who have been denied access to basic supplies as part of an official strategy against illegal mining.
 
The group has been in a mineshaft in Stilfontein, in the North West province, for about a month.
 
They have refused to cooperate with authorities, as some are undocumented - coming from neighbouring countries like Lesotho and Mozambique - and fear being deported.

Subscribe here: http://bit.ly/1rbfUog

For more news, analysis and features visit: www.bbc.com/news 
 
#BBCNews #SouthAfrica #Mining",2024-11-15,13:30:32,740,55170,news,UC16niRr50-MSBwiO3YDb3RA
26,Hans Rosling: 200 years in 4 minutes  - BBC News,"Swedish stats guru and public educator Hans Rosling has died aged 68. In this spectacular section of The Joy Of Stats, broadcast by the BBC in 2010, he tells the story of the world in 200 countries over 200 years using 120,000 numbers - in just four minutes.

 Please subscribe HERE http://bit.ly/1rbfUog

World In Pictures https://www.youtube.com/playlist?list=PLS3XGZxi7cBX37n4R0UGJN-TLiQOm7ZTP
Big Hitters https://www.youtube.com/playlist?list=PLS3XGZxi7cBUME-LUrFkDwFmiEc3jwMXP
Just Good News https://www.youtube.com/playlist?list=PLS3XGZxi7cBUsYo_P26cjihXLN-k3w246",2017-02-08,14:10:11,2802,289234,news,UC16niRr50-MSBwiO3YDb3RA
27,Moment Georgia election cheif doused in paint by opposition official. #Georgia #BBCNews,,2024-11-17,09:50:39,9692,533437,news,UC16niRr50-MSBwiO3YDb3RA
28,Hezbollah media chief killed in Israeli strike in Beirut | BBC News,"Hezbollah's media chief Mohammed Afif has been killed in an Israeli strike in central Beirut, the Lebanese militant group has confirmed.

A strike hit the headquarters of the Baath political party in the densely populated Ras al-Naba neighbourhood on Sunday, according to Lebanon's state-run National News Agency.

Afif, one of the few remaining public faces of the group, was last seen on Monday, when he gave a press conference in Beirut’s southern suburbs, where the group is based.

Meanwhile, an Israeli air strike on a five-storey residential block in Beit Lahia in northern Gaza has killed at least 40 people, officials in Gaza say.

Subscribe here: http://bit.ly/1rbfUog

For more news, analysis and features visit: www.bbc.com/news 

#Lebanon #Gaza #BBCNews",2024-11-18,10:56:36,769,62377,news,UC16niRr50-MSBwiO3YDb3RA
29,BBC journalist reports from British warship as Russia “fires warning shots” - BBC News,"Tensions have escalated sharply between Russia and the United Kingdom, on the seas off the coast of Crimea. 

More than 20 Russian aircraft and two coastguard ships were shadowing a British warship, HMS Defender, when the Russians claim they've fired warning shots and dropped bombs in the path of the British ship, accusing it of violating Russian territorial waters. The British deny that account.

Russia annexed Crimea from Ukraine in 2014 and claims the peninsula and its waters are Russian territory.  However  the UK says HMS Defender was passing through Ukrainian waters, in an internationally recognised route.

The only broadcast journalist on board HMS Defender was from the BBC.

Huw Edwards presents BBC News at Ten reporting by Jonathan Beale, who describes the hostile warnings from Russia and HMS Defender’s response the confrontation.

Please subscribe HERE http://bit.ly/1rbfUog

#BBCNews",2021-06-23,21:28:49,66245,8845730,news,UC16niRr50-MSBwiO3YDb3RA
30,"Russia’s war effort hampered by tighter export controls, report says - BBC News","Russia's military could be unable to operate the high-tech weapons and communications systems it has been using in Ukraine if the West were to tighten export controls, says a report.

Almost all Moscow's modern military systems depend on western-made microelectronics, according to UK think tank The Royal United Services Institute (Rusi).

Researchers for Rusi spent months in Ukraine, examining 27 of Russia's most modern military systems, either captured, brought down or abandoned by Russian troops.

Please subscribe HERE http://bit.ly/1rbfUog

#Russia #Ukraine #BBCNews",2022-08-08,16:30:03,3171,289991,news,UC16niRr50-MSBwiO3YDb3RA
31,'How To End Poverty in 15 years' Hans Rosling - BBC News,"15 years from now, nobody will still be living in extreme poverty anywhere in the world – that’s the pledge being made by President Obama and the Pope.  Eradicating global poverty in a single generation is the number one ambition to be announced at this weekend’s Sustainable Development Summit in New York.  But is it possible?  Find out from the eminent statistician Professor Hans Rosling in ‘Don’t Panic, How to End Poverty in 15 Years’ on, Wednesday, 23 September at 8pm on BBC Two.  In Professor Rosling’s words, “Watch the programme and you will learn a lot”.

Subscribe to BBC News HERE http://bit.ly/1rbfUog
Check out our website: http://www.bbc.com/news 
Facebook: http://www.facebook.com/bbcworldnews 
Twitter: http://www.twitter.com/bbcworld
Instagram: http://instagram.com/bbcnews",2015-09-23,13:53:32,2610,266814,news,UC16niRr50-MSBwiO3YDb3RA
32,Svalbard: How an Arctic archipelago is moving towards clean energy | BBC Click,"High inside the Arctic circle, the archipelago of Svalbard is one of the fastest warming places on Earth.

Yet for most of its history, it has depended on coal for energy and jobs.

How has it been taking steps towards clear energy?

Subscribe here: http://bit.ly/1rbfUog

For more news, analysis and features visit: www.bbc.com/news 

#Svalbard #ClimateChange #BBCNews",2024-11-17,19:30:01,962,53600,news,UC16niRr50-MSBwiO3YDb3RA
33,"Malcolm X’s family sues FBI, CIA and NYPD over his murder | BBC News","Relatives of civil-rights activist Malcolm X are suing US law enforcement agencies for complicity in his assassination 60 years ago.
 
They claim the FBI, CIA and the New York Police Department were all aware of a plot to assassinate him but did nothing to stop it, seeking $100m in damaged.
 
Three men were convicted of his murder, but two were exonerated more than 50 years later when the case was re-examined.

Subscribe here: http://bit.ly/1rbfUog

For more news, analysis and features visit: www.bbc.com/news 

#MalcolmX #US #BBCNews",2024-11-16,16:00:53,1748,85095,news,UC16niRr50-MSBwiO3YDb3RA
34,Joe Biden allows Ukraine to strike inside Russia with missiles | BBC News,"US President Joe Biden has given the green light for Ukraine to use long-range missiles supplied by America to strike Russia, officials say.
 
The move marks a major change in policy for Washington which had refused for months to agree to Kyiv's requests for authorisation to use the ATACMS missiles outside its own borders.
 
Ukraine's President Volodymyr Zelensky reacted to the news - which came via briefings from US officials - saying ""such things are not announced, missiles speak for themselves"".
 
Russian President Vladimir Putin has previously warned Western nations against such a move, saying it would represent the Nato military alliance's ""direct participation"" in the Ukraine war.
 
UK Prime Minister, Keir Starmer, is also due to address the issue at the G20 summit of world leaders in Brazil, where he said shoring up support for Ukraine will be his top agenda.

Subscribe here: http://bit.ly/1rbfUog

For more news, analysis and features visit: www.bbc.com/news 

#JoeBiden #Ukraine #Russia #BBCNews",2024-11-18,09:22:16,6256,471714,news,UC16niRr50-MSBwiO3YDb3RA
35,"War between Ukraine and Russia will end 'faster' under Trump, says Zelensky | BBC News","Ukrainie's President Volodymyr Zelensky has said Russia's war on his country will end ""faster"" than it otherwise would have done with Donald Trump's return to the White House.
 
Mr Zelensky didn't say if the US president-elect had made any demands about talks with Russia, but told a Ukrainian radio station that Trump's promise to the US public that he will end the war ""is very important for them, not only for the sake of Ukraine.""
 
Meanwhile, Ukraine has accused Germany of trying to appease Russia after Chancellor Olaf Scholz held a phone call with Vladimir Putin for the first time in two years.

Subscribe here: http://bit.ly/1rbfUog

For more news, analysis and features visit: www.bbc.com/news 

#Ukraine #Russia #US #BBCNews",2024-11-16,10:00:43,3285,410831,news,UC16niRr50-MSBwiO3YDb3RA
36,What are Robert F Kennedy Jr's controversial claims? | BBC News,"The head of the largest organisation of public health professionals in the US says Donald Trump's pick for health secretary is “absolutely the wrong guy”.
 
Georges C Benjamin says Robert F Kennedy Jr has no health background and has ""already caused great damage to health in the country"", referring to Kennedy’s scepticism of vaccines.
 
Kennedy has a history of spreading health information that scientists say is false. Trump told his supporters that Kennedy wanted to ""help make America healthy again"".

BBC Verify’s Merylyn Thomas looks at the controversial claims he’s made in the past.
 
Subscribe here: http://bit.ly/1rbfUog
 
For more news, analysis and features visit: www.bbc.com/news
 
#BBCNews #Trump #Republicans",2024-11-15,18:30:33,438,75865,news,UC16niRr50-MSBwiO3YDb3RA
37,Trump appoints controversial top team as Republicans retain House majority | BBC News,"It’s been confirmed that the Republicans will hold on to their majority in the US House of Representatives following the recent election, giving Donald Trump's party control over all the major levers of government.

Mr Trump has nominated Congressman Matt Gaetz for attorney general, former Congresswoman Tulsi Gabbard for director of national intelligence, Senator Marco Rubio to be secretary of state, Pete Gegseth - a Fox News host and Army veteran - as defence secretary, and John Ratcliffe as head of the CIA.   Mr Trump also appointed Elon Musk and Republican Vivek Ramaswamy to jointly lead a new Department of Government Efficiency. 

President-elect Trump met Joe Biden at the White House to discuss the presidential transition. Biden told him”welcome back"" as the pair shook hands and said they both hoped for a ""smooth"" transition.

Across Washington at the Capitol, Senate Republicans have elected John Thune as their new majority leader.

Sophie Raworth presents BBC News at Ten reporting by Sarah Smith and Ben Chu.

Subscribe here: http://bit.ly/1rbfUog

For more news, analysis and features visit: www.bbc.com/news 

#BBCNews",2024-11-13,23:45:44,602,68162,news,UC16niRr50-MSBwiO3YDb3RA
38,Russian soldier's mum speaks out against war in Ukraine – BBC News,"Since Russia invaded Ukraine, thousands of civilians have been killed and millions of Ukrainians have fled their homes. 

But back home, there are consequences too, for the families of Russian servicemen who have been sent into battle.

A Russian soldier’s mother has shared her story about what she thinks of the Kremlin's ""special military operation"".

Please subscribe HERE http://bit.ly/1rbfUog

#Russia #Ukraine #BBCNews",2022-07-14,09:25:55,5130,326991,news,UC16niRr50-MSBwiO3YDb3RA
39,Students in South Korea sit 8 hour college entrance exam. #Exams #Students #BBCNews,,2024-11-14,00:30:30,1004,28039,news,UC16niRr50-MSBwiO3YDb3RA
40,Inside London's newly refurbished Big Ben - BBC News,"One of the world's most recognisable clocks has had a facelift. 

Restoration on Big Ben's Elizabeth Tower, next to the Houses of Parliament in London, England, is due to be completed this summer to a budget of £79.7m.

The BBC has been given special access inside the tower to take a closer look.

Please subscribe HERE http://bit.ly/1rbfUog

#London #BigBen #BBCNews",2022-03-17,16:00:25,9227,751908,news,UC16niRr50-MSBwiO3YDb3RA
41,Scientists find “strong evidence” for new mystery sub-atomic force of nature - BBC News,"An international team of scientists, working on a project in the United States, say they have discovered strong evidence for the existence of a new force of nature. 

They say some sub-atomic particles - called muons - don't behave in a way predicted by current theories of physics. 

The British funders of the research say that scientists are “on the precipice of a new era of physics”. 

Huw Edwards presents BBC News at Ten reporting by science correspondent Pallab Ghosh.
Please subscribe HERE http://bit.ly/1rbfUog

#BBCNews",2021-04-07,21:37:32,27914,1475192,news,UC16niRr50-MSBwiO3YDb3RA
42,Should trans athletes compete in female categories? - BBC Newsnight,"As cycling’s world governing body continues to mull eligibility of British rider Emily Bridges in women’s events, we explore the transgender issue confronting sport. Please subscribe HERE http://bit.ly/1rbfUog

Transgender women should compete in an ""open category"" in order to ""protect women's sport"", two current elite female runners tell the BBC.

The British athletes, one of whom is an Olympian, believe athletes should only be allowed to compete in the category of their biological sex.

As governing bodies struggle to find a way forward, trans athletes have faced criticism for competing at high levels in sport - even though they’ve met competition standards set by the discipline. 

Is there an unfair advantage? Should transgender women be banned from competing in female categories? Should there be a separate category established? Or should sport be more inclusive?

BBC Sports Editor Dan Roan has been investigating the issue following several high profile recent cases that led to controversy and division.

#Newsnight #BBCNews #BBC

Newsnight is the BBC's flagship news and current affairs TV programme - with analysis, debate, exclusives, and robust interviews. 

Website: https://www.bbc.co.uk/newsnight
Twitter: https://twitter.com/BBCNewsnight
Facebook: https://www.facebook.com/bbcnewsnight",2022-05-13,15:22:48,2434,287771,news,UC16niRr50-MSBwiO3YDb3RA
43,Putin demands security guarantees as troops mass on Ukraine border - BBC News,"Vladimir Putin has again insisted that the West must guarantee that NATO won’t expand eastwards or accept Ukraine as a member.

He has also rejected claims that Russia is preparing to invade Ukraine, despite many thousands of Russian troops massing on the border.

Mr Putin said any expansion NATO would be a threat to Russias security.   He was speaking during his annual press conference at the Kremlin.

Clive Myrie presents BBC News at Ten reporting by Steve Rosenberg in Moscow.

Please subscribe HERE http://bit.ly/1rbfUog

#BBCNews",2021-12-24,02:14:49,4815,321524,news,UC16niRr50-MSBwiO3YDb3RA
44,Fire at hospital in India claims lives of at least 10 babies | BBC News,"At least 10 babies have died after a fire broke out on the children's ward of a hospital in northern India.
 
16 other babies are being treated for their injuries with some described as being in a critical condition.
 
Local officials said the blaze in the intensive care unit was possibly caused by an electrical fault in an oxygen concentrator.

Subscribe here: http://bit.ly/1rbfUog

For more news, analysis and features visit: www.bbc.com/news 

#India #BBCNews",2024-11-16,14:00:47,674,49752,news,UC16niRr50-MSBwiO3YDb3RA
45,Tens of thousands told to evacuate Sydney amid floods - BBC News,"A man has died and thousands of people have been told to evacuate their homes amid torrential rain and flash flooding in Australia's largest city, Sydney.

Roads have been cut off, with 18 evacuation orders in western Sydney alone and warnings of more to come.

""This is a life-threatening emergency situation,"" Stephanie Cooke, emergency services minister for the state of New South Wales, said.

Please subscribe HERE http://bit.ly/1rbfUog

#Australia #Sydney #BBCNews",2022-07-03,17:00:30,4074,423919,news,UC16niRr50-MSBwiO3YDb3RA
46,US to send Ukraine longer-range rockets in latest aid package – BBC News,"The US will send Ukraine more advanced rocket systems to help it defend itself, President Joe Biden has announced.

The weapons, long requested by Ukraine, are to help it strike enemy forces more precisely from a longer distance.

Until now, the US had refused the request out of fear the weapons could be used against targets in Russia.

Kremlin spokesman Dmitry Peskov said the US was ""directly and intentionally adding fuel to the fire"" with its weapons deliveries to Ukraine.

Please subscribe HERE http://bit.ly/1rbfUog

#Russia #Ukraine #BBCNews",2022-06-01,14:06:43,8922,535019,news,UC16niRr50-MSBwiO3YDb3RA
47,Worst violence in Belfast for years as British and Irish leaders call for calm - BBC News,"The British and Irish prime ministers have issued a joint statement calling for calm after days of rioting in Northern Ireland. 

Police in Belfast say the violence is the worst they have seen in recent years, scenes that many had believed were a thing of the past.  

During an emergency session of the Northern Ireland Assembly politicians on all sides lined up to condemn the violence.  

Sophie Raworth presents BBC News at Ten reporting by Ireland Correspondent Emma Vardy.

Please subscribe HERE http://bit.ly/1rbfUog

#BBCNews",2021-04-08,21:13:42,3798,384492,news,UC16niRr50-MSBwiO3YDb3RA
48,Russia says it won’t use tactical nuclear weapons in Ukraine - BBC News,"Russia’s ambassador to the UK has told the BBC that his country will not use tactical nuclear weapons in the war in Ukraine. 

Ambassador Andrey Kelin told the BBC’s Clive Myrie that Russia had very strict rules on the use of such weapons and they would normally only be deployed if the Russian state was in danger. 

It comes as Russia appears to be making significant gains on the battlefield in eastern Ukraine, where it is advancing on the strategic city of Severodonetsk.

Martine Croxall presents BBC News at Ten reporting by Caroline Hawley.

Please subscribe HERE http://bit.ly/1rbfUog

#BBCNews",2022-05-28,22:08:07,12637,1434522,news,UC16niRr50-MSBwiO3YDb3RA
